cat_id,category,group,Base+Hand,Base+OPRO-LLM,Base+OPRO-Tmpl,LoRA+Hand,LoRA+OPRO-LLM,LoRA+OPRO-Tmpl,Qwen3+Hand,Qwen3+OPRO-LLM,Qwen3+OPRO-Tmpl,mean_accuracy
0,dog,Animal vocalizations,0.9500,0.7773,0.5500,0.8227,0.4545,0.8273,0.9727,0.9727,0.8909,0.8020
1,rooster,Animal vocalizations,0.9432,0.8977,0.6894,0.9129,0.7614,0.9621,0.8750,0.8258,0.8030,0.8523
2,pig,Animal vocalizations,0.9682,0.8773,0.6227,0.8409,0.6409,0.9500,0.9364,0.9182,0.7955,0.8389
3,cow,Animal vocalizations,0.9188,0.7760,0.6396,0.8019,0.5292,0.8766,0.9318,0.9058,0.8084,0.7987
4,frog,Animal vocalizations,1.0000,0.9545,0.8364,0.9273,0.7091,0.9818,0.9091,0.8818,0.7636,0.8848
5,cat,Animal vocalizations,0.9198,0.8556,0.7701,0.8556,0.5936,0.8877,0.8449,0.8182,0.6872,0.8036
6,hen,Animal vocalizations,0.8802,0.9380,0.5537,0.8430,0.8140,0.8636,0.8595,0.7975,0.6488,0.7998
7,insects,Animal vocalizations,0.9870,0.8896,0.8442,0.8961,0.7468,0.9286,0.9675,0.9416,0.8831,0.8983
8,sheep,Animal vocalizations,0.9636,0.8424,0.5515,0.8242,0.7091,0.8818,0.7727,0.7848,0.4818,0.7569
9,crow,Animal vocalizations,0.9495,0.9444,0.7980,0.9293,0.8232,0.9697,0.8232,0.7222,0.6162,0.8418
10,rain,Natural/ambient,1.0000,1.0000,0.9621,1.0000,0.9924,1.0000,1.0000,1.0000,0.9848,0.9933
11,sea_waves,Natural/ambient,0.9959,0.9959,0.9256,1.0000,0.9380,1.0000,1.0000,0.9917,0.9463,0.9770
12,crackling_fire,Natural/ambient,1.0000,0.9811,0.9621,0.9924,0.9356,0.9924,1.0000,0.9924,0.9280,0.9760
13,crickets,Natural/ambient,0.9773,0.9659,0.6193,0.9716,0.8920,0.9034,1.0000,0.9716,0.9659,0.9186
14,chirping_birds,Natural/ambient,1.0000,0.9959,0.9174,0.9917,0.9132,1.0000,0.9959,1.0000,0.9793,0.9770
15,water_drops,Natural/ambient,1.0000,0.9364,0.9455,0.9455,0.6091,0.9773,1.0000,1.0000,0.9591,0.9303
16,wind,Natural/ambient,1.0000,0.9727,0.9045,0.9818,0.9182,0.9818,1.0000,0.9818,0.9091,0.9611
17,pouring_water,Natural/ambient,1.0000,0.9870,0.9675,0.9805,0.8247,0.9870,1.0000,1.0000,0.9805,0.9697
18,toilet_flush,Natural/ambient,0.9848,0.9293,0.7374,0.9343,0.7879,0.9798,0.9949,0.9899,0.8788,0.9130
19,thunderstorm,Natural/ambient,1.0000,0.9805,0.9675,0.9870,0.8571,0.9935,1.0000,1.0000,0.9675,0.9726
20,crying_baby,Human vocalizations,0.7525,0.8384,0.3939,0.6970,0.5909,0.7727,0.5455,0.4596,0.3889,0.6044
