clip_id,variant_id,duration_ms,snr_db,audio_path,ground_truth,dataset,group_id,sr,rms,container_duration_ms,noise_amplitude,normalization
esc50_5-223099-A-32_043_1000ms,esc50_5-223099-A-32_043_1000ms_dur100ms_snr-10dB,100,-10,data/processed/experimental_variants/audio/train/esc50_5-223099-A-32_043_1000ms_dur100ms_snr-10dB.wav,NONSPEECH,esc50,,16000,0.0045101634795292,2000,0.0001,peak
esc50_2-158746-B-2_053_1000ms,esc50_2-158746-B-2_053_1000ms_dur500ms_snr+0dB,500,0,data/processed/experimental_variants/audio/train/esc50_2-158746-B-2_053_1000ms_dur500ms_snr+0dB.wav,NONSPEECH,esc50,,16000,0.0278838188281714,2000,0.0001,peak
esc50_3-172179-A-31_041_1000ms,esc50_3-172179-A-31_041_1000ms_dur40ms_snr-5dB,40,-5,data/processed/experimental_variants/audio/train/esc50_3-172179-A-31_041_1000ms_dur40ms_snr-5dB.wav,NONSPEECH,esc50,,16000,0.001820298060058,2000,0.0001,peak
voxconverse_uexjc_029_1000ms,voxconverse_uexjc_029_1000ms_dur100ms_snr+20dB,100,20,data/processed/experimental_variants/audio/train/voxconverse_uexjc_029_1000ms_dur100ms_snr+20dB.wav,SPEECH,voxconverse,uexjc,16000,0.0146314113142364,2000,0.0001,peak
esc50_2-85434-A-27_058_1000ms,esc50_2-85434-A-27_058_1000ms_dur80ms_snr+5dB,80,5,data/processed/experimental_variants/audio/train/esc50_2-85434-A-27_058_1000ms_dur80ms_snr+5dB.wav,NONSPEECH,esc50,,16000,0.0103575833848862,2000,0.0001,peak
voxconverse_eziem_007_1000ms,voxconverse_eziem_007_1000ms_dur500ms_snr+0dB,500,0,data/processed/experimental_variants/audio/train/voxconverse_eziem_007_1000ms_dur500ms_snr+0dB.wav,SPEECH,voxconverse,eziem,16000,0.1059130536319153,2000,0.0001,peak
voxconverse_rcxzg_031_1000ms,voxconverse_rcxzg_031_1000ms_dur20ms_snr+10dB,20,10,data/processed/experimental_variants/audio/train/voxconverse_rcxzg_031_1000ms_dur20ms_snr+10dB.wav,SPEECH,voxconverse,rcxzg,16000,0.0254559989909296,2000,0.0001,peak
esc50_3-119120-D-48_007_1000ms,esc50_3-119120-D-48_007_1000ms_dur20ms_snr+5dB,20,5,data/processed/experimental_variants/audio/train/esc50_3-119120-D-48_007_1000ms_dur20ms_snr+5dB.wav,NONSPEECH,esc50,,16000,0.0007743333954114,2000,0.0001,peak
esc50_2-165801-A-48_013_1000ms,esc50_2-165801-A-48_013_1000ms_dur100ms_snr-10dB,100,-10,data/processed/experimental_variants/audio/train/esc50_2-165801-A-48_013_1000ms_dur100ms_snr-10dB.wav,NONSPEECH,esc50,,16000,0.0069382505578451,2000,0.0001,peak
voxconverse_odkzj_067_1000ms,voxconverse_odkzj_067_1000ms_dur1000ms_snr+10dB,1000,10,data/processed/experimental_variants/audio/train/voxconverse_odkzj_067_1000ms_dur1000ms_snr+10dB.wav,SPEECH,voxconverse,odkzj,16000,0.0620352534310583,2000,0.0001,peak
esc50_3-62878-A-42_018_1000ms,esc50_3-62878-A-42_018_1000ms_dur500ms_snr-5dB,500,-5,data/processed/experimental_variants/audio/train/esc50_3-62878-A-42_018_1000ms_dur500ms_snr-5dB.wav,NONSPEECH,esc50,,16000,0.2758178120863385,2000,0.0001,peak
esc50_4-172500-C-27_019_1000ms,esc50_4-172500-C-27_019_1000ms_dur80ms_snr+0dB,80,0,data/processed/experimental_variants/audio/train/esc50_4-172500-C-27_019_1000ms_dur80ms_snr+0dB.wav,NONSPEECH,esc50,,16000,0.0209798199496193,2000,0.0001,peak
esc50_3-166125-B-23_052_1000ms,esc50_3-166125-B-23_052_1000ms_dur40ms_snr+5dB,40,5,data/processed/experimental_variants/audio/train/esc50_3-166125-B-23_052_1000ms_dur40ms_snr+5dB.wav,NONSPEECH,esc50,,16000,0.0023837925740744,2000,0.0001,peak
voxconverse_eziem_007_1000ms,voxconverse_eziem_007_1000ms_dur40ms_snr+10dB,40,10,data/processed/experimental_variants/audio/train/voxconverse_eziem_007_1000ms_dur40ms_snr+10dB.wav,SPEECH,voxconverse,eziem,16000,0.004744776063965,2000,0.0001,peak
voxconverse_jhdav_051_1000ms,voxconverse_jhdav_051_1000ms_dur200ms_snr-5dB,200,-5,data/processed/experimental_variants/audio/train/voxconverse_jhdav_051_1000ms_dur200ms_snr-5dB.wav,SPEECH,voxconverse,jhdav,16000,0.0191098690858458,2000,0.0001,peak
esc50_3-172179-A-31_041_1000ms,esc50_3-172179-A-31_041_1000ms_dur80ms_snr+5dB,80,5,data/processed/experimental_variants/audio/train/esc50_3-172179-A-31_041_1000ms_dur80ms_snr+5dB.wav,NONSPEECH,esc50,,16000,0.002047027950106,2000,0.0001,peak
voxconverse_mkrcv_022_1000ms,voxconverse_mkrcv_022_1000ms_dur20ms_snr-10dB,20,-10,data/processed/experimental_variants/audio/train/voxconverse_mkrcv_022_1000ms_dur20ms_snr-10dB.wav,SPEECH,voxconverse,mkrcv,16000,0.0197884653016825,2000,0.0001,peak
voxconverse_udjij_012_1000ms,voxconverse_udjij_012_1000ms_dur1000ms_snr-10dB,1000,-10,data/processed/experimental_variants/audio/train/voxconverse_udjij_012_1000ms_dur1000ms_snr-10dB.wav,SPEECH,voxconverse,udjij,16000,0.3837087459043718,2000,0.0001,peak
voxconverse_asxwr_076_1000ms,voxconverse_asxwr_076_1000ms_dur80ms_snr-5dB,80,-5,data/processed/experimental_variants/audio/train/voxconverse_asxwr_076_1000ms_dur80ms_snr-5dB.wav,SPEECH,voxconverse,asxwr,16000,0.0325803173590507,2000,0.0001,peak
voxconverse_odkzj_067_1000ms,voxconverse_odkzj_067_1000ms_dur40ms_snr+0dB,40,0,data/processed/experimental_variants/audio/train/voxconverse_odkzj_067_1000ms_dur40ms_snr+0dB.wav,SPEECH,voxconverse,odkzj,16000,0.0128951085475779,2000,0.0001,peak
voxconverse_asxwr_076_1000ms,voxconverse_asxwr_076_1000ms_dur1000ms_snr+10dB,1000,10,data/processed/experimental_variants/audio/train/voxconverse_asxwr_076_1000ms_dur1000ms_snr+10dB.wav,SPEECH,voxconverse,asxwr,16000,0.1013823433423924,2000,0.0001,peak
voxconverse_gocbm_047_1000ms,voxconverse_gocbm_047_1000ms_dur100ms_snr+0dB,100,0,data/processed/experimental_variants/audio/train/voxconverse_gocbm_047_1000ms_dur100ms_snr+0dB.wav,SPEECH,voxconverse,gocbm,16000,0.0345721129982414,2000,0.0001,peak
esc50_3-142593-A-38_059_1000ms,esc50_3-142593-A-38_059_1000ms_dur80ms_snr+10dB,80,10,data/processed/experimental_variants/audio/train/esc50_3-142593-A-38_059_1000ms_dur80ms_snr+10dB.wav,NONSPEECH,esc50,,16000,0.0044285896716593,2000,0.0001,peak
voxconverse_gocbm_047_1000ms,voxconverse_gocbm_047_1000ms_dur500ms_snr+5dB,500,5,data/processed/experimental_variants/audio/train/voxconverse_gocbm_047_1000ms_dur500ms_snr+5dB.wav,SPEECH,voxconverse,gocbm,16000,0.0846859368606968,2000,0.0001,peak
voxconverse_mkrcv_022_1000ms,voxconverse_mkrcv_022_1000ms_dur500ms_snr+5dB,500,5,data/processed/experimental_variants/audio/train/voxconverse_mkrcv_022_1000ms_dur500ms_snr+5dB.wav,SPEECH,voxconverse,mkrcv,16000,0.0660982355803537,2000,0.0001,peak
voxconverse_ypwjd_011_1000ms,voxconverse_ypwjd_011_1000ms_dur20ms_snr+5dB,20,5,data/processed/experimental_variants/audio/train/voxconverse_ypwjd_011_1000ms_dur20ms_snr+5dB.wav,SPEECH,voxconverse,ypwjd,16000,0.010098932746936,2000,0.0001,peak
voxconverse_kkwkn_068_1000ms,voxconverse_kkwkn_068_1000ms_dur100ms_snr-10dB,100,-10,data/processed/experimental_variants/audio/train/voxconverse_kkwkn_068_1000ms_dur100ms_snr-10dB.wav,SPEECH,voxconverse,kkwkn,16000,0.0121278040524508,2000,0.0001,peak
esc50_5-157204-B-16_027_1000ms,esc50_5-157204-B-16_027_1000ms_dur500ms_snr+5dB,500,5,data/processed/experimental_variants/audio/train/esc50_5-157204-B-16_027_1000ms_dur500ms_snr+5dB.wav,NONSPEECH,esc50,,16000,0.0991689010782609,2000,0.0001,peak
esc50_1-65483-A-13_031_1000ms,esc50_1-65483-A-13_031_1000ms_dur500ms_snr+5dB,500,5,data/processed/experimental_variants/audio/train/esc50_1-65483-A-13_031_1000ms_dur500ms_snr+5dB.wav,NONSPEECH,esc50,,16000,0.0654825164684904,2000,0.0001,peak
esc50_5-202220-A-21_040_1000ms,esc50_5-202220-A-21_040_1000ms_dur200ms_snr-10dB,200,-10,data/processed/experimental_variants/audio/train/esc50_5-202220-A-21_040_1000ms_dur200ms_snr-10dB.wav,NONSPEECH,esc50,,16000,0.146332259989247,2000,0.0001,peak
voxconverse_rcxzg_031_1000ms,voxconverse_rcxzg_031_1000ms_dur200ms_snr+10dB,200,10,data/processed/experimental_variants/audio/train/voxconverse_rcxzg_031_1000ms_dur200ms_snr+10dB.wav,SPEECH,voxconverse,rcxzg,16000,0.0563247327934106,2000,0.0001,peak
esc50_1-103995-A-30_008_1000ms,esc50_1-103995-A-30_008_1000ms_dur60ms_snr+20dB,60,20,data/processed/experimental_variants/audio/train/esc50_1-103995-A-30_008_1000ms_dur60ms_snr+20dB.wav,NONSPEECH,esc50,,16000,9.811865803195492e-05,2000,0.0001,peak
voxconverse_jyflp_042_1000ms,voxconverse_jyflp_042_1000ms_dur80ms_snr-5dB,80,-5,data/processed/experimental_variants/audio/train/voxconverse_jyflp_042_1000ms_dur80ms_snr-5dB.wav,SPEECH,voxconverse,jyflp,16000,0.0640602246912095,2000,0.0001,peak
voxconverse_zidwg_057_1000ms,voxconverse_zidwg_057_1000ms_dur1000ms_snr+5dB,1000,5,data/processed/experimental_variants/audio/train/voxconverse_zidwg_057_1000ms_dur1000ms_snr+5dB.wav,SPEECH,voxconverse,zidwg,16000,0.0827306041198819,2000,0.0001,peak
voxconverse_zidwg_057_1000ms,voxconverse_zidwg_057_1000ms_dur60ms_snr-5dB,60,-5,data/processed/experimental_variants/audio/train/voxconverse_zidwg_057_1000ms_dur60ms_snr-5dB.wav,SPEECH,voxconverse,zidwg,16000,0.0526892444689494,2000,0.0001,peak
esc50_2-83270-A-13_033_1000ms,esc50_2-83270-A-13_033_1000ms_dur1000ms_snr+20dB,1000,20,data/processed/experimental_variants/audio/train/esc50_2-83270-A-13_033_1000ms_dur1000ms_snr+20dB.wav,NONSPEECH,esc50,,16000,0.1650114941387655,2000,0.0001,peak
esc50_2-158746-B-2_053_1000ms,esc50_2-158746-B-2_053_1000ms_dur20ms_snr-10dB,20,-10,data/processed/experimental_variants/audio/train/esc50_2-158746-B-2_053_1000ms_dur20ms_snr-10dB.wav,NONSPEECH,esc50,,16000,0.0072994905583831,2000,0.0001,peak
voxconverse_jsmbi_020_1000ms,voxconverse_jsmbi_020_1000ms_dur80ms_snr+0dB,80,0,data/processed/experimental_variants/audio/train/voxconverse_jsmbi_020_1000ms_dur80ms_snr+0dB.wav,SPEECH,voxconverse,jsmbi,16000,0.0206885510700082,2000,0.0001,peak
voxconverse_ypwjd_011_1000ms,voxconverse_ypwjd_011_1000ms_dur100ms_snr-5dB,100,-5,data/processed/experimental_variants/audio/train/voxconverse_ypwjd_011_1000ms_dur100ms_snr-5dB.wav,SPEECH,voxconverse,ypwjd,16000,0.0352190363142372,2000,0.0001,peak
voxconverse_zrlyl_018_1000ms,voxconverse_zrlyl_018_1000ms_dur40ms_snr+0dB,40,0,data/processed/experimental_variants/audio/train/voxconverse_zrlyl_018_1000ms_dur40ms_snr+0dB.wav,SPEECH,voxconverse,zrlyl,16000,0.0056726710067834,2000,0.0001,peak
esc50_4-161099-A-47_064_1000ms,esc50_4-161099-A-47_064_1000ms_dur60ms_snr-5dB,60,-5,data/processed/experimental_variants/audio/train/esc50_4-161099-A-47_064_1000ms_dur60ms_snr-5dB.wav,NONSPEECH,esc50,,16000,0.0539824066288843,2000,0.0001,peak
voxconverse_uexjc_029_1000ms,voxconverse_uexjc_029_1000ms_dur80ms_snr+5dB,80,5,data/processed/experimental_variants/audio/train/voxconverse_uexjc_029_1000ms_dur80ms_snr+5dB.wav,SPEECH,voxconverse,uexjc,16000,0.0153943505005926,2000,0.0001,peak
